1,Bus1(I2C),0ns,Start,6F,Write,A-ACK,00,D-ACK,30,D-ACK,Stop
2,Bus1(I2C),10.28372ms,Start,6F,Write,A-ACK,00,D-ACK,,,
3,Bus1(I2C),10.4824ms,Start,6F,Read,A-ACK,30,D-NACK,Stop,Master NACK,
4,Bus1(I2C),20.66016ms,Start,6F,Write,A-ACK,03,D-ACK,0A,D-ACK,Stop
5,Bus1(I2C),30.94448ms,Start,6F,Write,A-ACK,03,D-ACK,,,
6,Bus1(I2C),31.14316ms,Start,6F,Read,A-ACK,0A,D-NACK,Stop,Master NACK,
7,Bus1(I2C),41.32236ms,Start,6F,Write,A-ACK,0D,D-ACK,22,D-ACK,Stop
8,Bus1(I2C),51.60756ms,Start,6F,Write,A-ACK,0D,D-ACK,,,
9,Bus1(I2C),51.80628ms,Start,6F,Read,A-ACK,22,D-NACK,Stop,Master NACK,
10,Bus1(I2C),61.98404ms,Start,6F,Write,A-ACK,0A,D-ACK,00,D-ACK,Stop
11,Bus1(I2C),72.26864ms,Start,6F,Write,A-ACK,0A,D-ACK,,,
12,Bus1(I2C),72.4674ms,Start,6F,Read,A-ACK,00,D-NACK,Stop,Master NACK,
13,Bus1(I2C),82.64572ms,Start,6F,Write,A-ACK,0B,D-ACK,00,D-ACK,Stop
14,Bus1(I2C),92.93036ms,Start,6F,Write,A-ACK,0B,D-ACK,,,
15,Bus1(I2C),93.12908ms,Start,6F,Read,A-ACK,00,D-NACK,Stop,Master NACK,
16,Bus1(I2C),103.30656ms,Start,6F,Write,A-ACK,0C,D-ACK,00,D-ACK,Stop
17,Bus1(I2C),113.59004ms,Start,6F,Write,A-ACK,0C,D-ACK,,,
18,Bus1(I2C),113.78872ms,Start,6F,Read,A-ACK,00,D-NACK,Stop,Master NACK,
19,Bus1(I2C),123.96812ms,Start,6F,Write,A-ACK,07,D-ACK,14,D-ACK,Stop
20,Bus1(I2C),134.25248ms,Start,6F,Write,A-ACK,07,D-ACK,,,
21,Bus1(I2C),134.45112ms,Start,6F,Read,A-ACK,14,D-NACK,Stop,Master NACK,
22,Bus1(I2C),144.63004ms,Start,6F,Write,A-ACK,08,D-ACK,FF,D-ACK,Stop
23,Bus1(I2C),154.91648ms,Start,6F,Write,A-ACK,08,D-ACK,,,
24,Bus1(I2C),155.11524ms,Start,6F,Read,A-ACK,FF,D-NACK,Stop,Master NACK,
25,Bus1(I2C),165.29652ms,Start,6F,Write,A-ACK,06,D-ACK,23,D-ACK,Stop
26,Bus1(I2C),175.5826ms,Start,6F,Write,A-ACK,06,D-ACK,,,
27,Bus1(I2C),175.78132ms,Start,6F,Read,A-ACK,23,D-NACK,Stop,Master NACK,
28,Bus1(I2C),185.96208ms,Start,6F,Write,A-ACK,05,D-ACK,09,D-ACK,Stop
29,Bus1(I2C),196.24544ms,Start,6F,Write,A-ACK,05,D-ACK,,,
30,Bus1(I2C),196.44412ms,Start,6F,Read,A-ACK,09,D-NACK,Stop,Master NACK,
31,Bus1(I2C),206.62168ms,Start,6F,Write,A-ACK,04,D-ACK,18,D-ACK,Stop
32,Bus1(I2C),216.9046ms,Start,6F,Write,A-ACK,04,D-ACK,,,
33,Bus1(I2C),217.10332ms,Start,6F,Read,A-ACK,18,D-NACK,Stop,Master NACK,
34,Bus1(I2C),227.28176ms,Start,6F,Write,A-ACK,02,D-ACK,16,D-ACK,Stop
35,Bus1(I2C),237.56408ms,Start,6F,Write,A-ACK,02,D-ACK,,,
36,Bus1(I2C),237.7628ms,Start,6F,Read,A-ACK,16,D-NACK,Stop,Master NACK,
37,Bus1(I2C),247.93928ms,Start,6F,Write,A-ACK,01,D-ACK,00,D-ACK,Stop
38,Bus1(I2C),258.22316ms,Start,6F,Write,A-ACK,01,D-ACK,,,
39,Bus1(I2C),258.4218ms,Start,6F,Read,A-ACK,00,D-NACK,Stop,Master NACK,
40,Bus1(I2C),268.59972ms,Start,6F,Write,A-ACK,03,D-ACK,0A,D-ACK,Stop
41,Bus1(I2C),278.8828ms,Start,6F,Write,A-ACK,03,D-ACK,,,
42,Bus1(I2C),279.08148ms,Start,6F,Read,A-ACK,0A,D-NACK,Stop,Master NACK,
43,Bus1(I2C),289.25832ms,Start,6F,Write,A-ACK,00,D-ACK,B0,D-ACK,Stop
44,Bus1(I2C),299.54032ms,Start,6F,Write,A-ACK,00,D-ACK,,,
45,Bus1(I2C),299.73904ms,Start,6F,Read,A-ACK,B2,D-NACK,Stop,Master NACK,
